transition,label
"GOAL:
(arm-empty)
(clear b2)
(clear b4)
(clear b5)
(on b1 b6)
(on b2 b8)
(on b3 b7)
(on b7 b1)
(on b8 b3)
(on-table b4)
(on-table b5)
(on-table b6)

NEXT STATE:
(arm-empty)
(clear b2)
(clear b4)
(clear b5)
(on b1 b6)
(on b2 b8)
(on b3 b7)
(on b7 b1)
(on b8 b3)
(on-table b4)
(on-table b5)
(on-table b6)
GOAL NOT REACHED",0
"GOAL:
(clear b1)
(clear b2)
(clear b4)
(holding b3)
(on b1 b5)
(on b4 b8)
(on b5 b7)
(on b7 b6)
(on-table b2)
(on-table b6)
(on-table b8)

NEXT STATE:
(clear b1)
(clear b5)
(clear b6)
(holding b2)
(on b4 b3)
(on b5 b4)
(on-table b1)
(on-table b3)
(on-table b6)
GOAL NOT REACHED",1
"GOAL:
(clear b3)
(holding b1)
(on b3 b2)
(on-table b2)

NEXT STATE:
(clear b3)
(holding b1)
(on b3 b2)
(on-table b2)
GOAL NOT REACHED",0
"GOAL:
(arm-empty)
(clear b3)
(on b1 b4)
(on b3 b1)
(on b4 b2)
(on-table b2)

NEXT STATE:
(clear b1)
(clear b2)
(clear b5)
(clear b7)
(holding b6)
(on b2 b3)
(on b3 b8)
(on b8 b4)
(on-table b1)
(on-table b4)
(on-table b5)
(on-table b7)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b4)
(clear b5)
(clear b7)
(on b2 b1)
(on b3 b6)
(on b5 b2)
(on b7 b3)
(on-table b1)
(on-table b4)
(on-table b6)

NEXT STATE:
(clear b2)
(clear b3)
(clear b7)
(holding b6)
(on b1 b8)
(on b5 b1)
(on b7 b5)
(on b8 b4)
(on-table b2)
(on-table b3)
(on-table b4)
GOAL NOT REACHED",1
"GOAL:
(clear b1)
(holding b3)
(on b1 b2)
(on-table b2)

NEXT STATE:
(clear b1)
(clear b2)
(clear b7)
(holding b6)
(on b1 b5)
(on b2 b4)
(on b5 b3)
(on-table b3)
(on-table b4)
(on-table b7)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b2)
(clear b5)
(on b1 b3)
(on b2 b4)
(on b4 b1)
(on-table b3)
(on-table b5)

NEXT STATE:
(arm-empty)
(clear b3)
(clear b6)
(on b1 b5)
(on b2 b7)
(on b3 b2)
(on b6 b4)
(on b7 b1)
(on-table b4)
(on-table b5)
GOAL REACHED",0
"GOAL:
(clear b3)
(clear b4)
(clear b6)
(holding b7)
(on b1 b5)
(on b2 b1)
(on b4 b2)
(on-table b3)
(on-table b5)
(on-table b6)

NEXT STATE:
(clear b4)
(clear b6)
(clear b7)
(holding b1)
(on b4 b3)
(on b5 b2)
(on b6 b5)
(on-table b2)
(on-table b3)
(on-table b7)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b1)
(clear b7)
(on b1 b6)
(on b2 b4)
(on b5 b2)
(on b6 b5)
(on b7 b8)
(on b8 b3)
(on-table b3)
(on-table b4)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b7)
(on b1 b6)
(on b2 b4)
(on b5 b2)
(on b6 b5)
(on b7 b8)
(on b8 b3)
(on-table b3)
(on-table b4)
GOAL NOT REACHED",0
"GOAL:
(clear b2)
(clear b4)
(holding b5)
(on b2 b3)
(on b3 b1)
(on b4 b6)
(on-table b1)
(on-table b6)

NEXT STATE:
(clear b2)
(clear b4)
(holding b5)
(on b2 b3)
(on b3 b1)
(on b4 b6)
(on-table b1)
(on-table b6)
GOAL NOT REACHED",0
"GOAL:
(arm-empty)
(clear b4)
(on b1 b2)
(on b3 b1)
(on b4 b5)
(on b5 b3)
(on-table b2)

NEXT STATE:
(arm-empty)
(clear b4)
(on b1 b2)
(on b3 b1)
(on b4 b5)
(on b5 b3)
(on-table b2)
GOAL REACHED",1
"GOAL:
(clear b1)
(holding b3)
(on b1 b2)
(on b2 b4)
(on-table b4)

NEXT STATE:
(arm-empty)
(clear b4)
(clear b6)
(on b2 b3)
(on b3 b1)
(on b4 b5)
(on b5 b2)
(on-table b1)
(on-table b6)
GOAL REACHED",0
"GOAL:
(arm-empty)
(clear b3)
(clear b4)
(clear b5)
(on b1 b7)
(on b3 b1)
(on b5 b2)
(on b7 b8)
(on b8 b6)
(on-table b2)
(on-table b4)
(on-table b6)

NEXT STATE:
(arm-empty)
(clear b3)
(clear b4)
(clear b5)
(on b1 b7)
(on b3 b1)
(on b5 b2)
(on b7 b8)
(on b8 b6)
(on-table b2)
(on-table b4)
(on-table b6)
GOAL NOT REACHED",0
"GOAL:
(clear b7)
(holding b1)
(on b3 b4)
(on b4 b5)
(on b5 b6)
(on b6 b2)
(on b7 b8)
(on b8 b3)
(on-table b2)

NEXT STATE:
(clear b7)
(holding b1)
(on b3 b4)
(on b4 b5)
(on b5 b6)
(on b6 b2)
(on b7 b8)
(on b8 b3)
(on-table b2)
GOAL NOT REACHED",0
"GOAL:
(clear b1)
(clear b2)
(holding b4)
(on b2 b3)
(on-table b1)
(on-table b3)

NEXT STATE:
(clear b1)
(clear b3)
(clear b5)
(clear b6)
(holding b7)
(on b4 b2)
(on b6 b4)
(on-table b1)
(on-table b2)
(on-table b3)
(on-table b5)
GOAL REACHED",0
"GOAL:
(clear b1)
(clear b3)
(clear b4)
(holding b6)
(on b1 b5)
(on b5 b2)
(on-table b2)
(on-table b3)
(on-table b4)

NEXT STATE:
(clear b1)
(clear b2)
(clear b3)
(holding b5)
(on b2 b7)
(on b3 b4)
(on b7 b6)
(on-table b1)
(on-table b4)
(on-table b6)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b3)
(clear b5)
(clear b6)
(on b2 b4)
(on b3 b7)
(on b4 b1)
(on b5 b2)
(on-table b1)
(on-table b6)
(on-table b7)

NEXT STATE:
(clear b1)
(clear b5)
(holding b2)
(on b4 b3)
(on b5 b4)
(on-table b1)
(on-table b3)
GOAL NOT REACHED",1
"GOAL:
(clear b1)
(clear b3)
(holding b4)
(on b3 b2)
(on-table b1)
(on-table b2)

NEXT STATE:
(clear b1)
(clear b2)
(clear b3)
(holding b4)
(on-table b1)
(on-table b2)
(on-table b3)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b1)
(on b1 b4)
(on b3 b2)
(on b4 b3)
(on-table b2)

NEXT STATE:
(clear b2)
(clear b3)
(clear b4)
(holding b1)
(on-table b2)
(on-table b3)
(on-table b4)
GOAL REACHED",0
"GOAL:
(arm-empty)
(clear b3)
(on b1 b2)
(on b2 b4)
(on b3 b1)
(on-table b4)

NEXT STATE:
(clear b1)
(clear b2)
(holding b3)
(on-table b1)
(on-table b2)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b1)
(clear b3)
(clear b4)
(on b1 b5)
(on b5 b2)
(on-table b2)
(on-table b3)
(on-table b4)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b3)
(clear b4)
(on b1 b5)
(on b5 b2)
(on-table b2)
(on-table b3)
(on-table b4)
GOAL REACHED",1
"GOAL:
(clear b2)
(holding b1)
(on b2 b3)
(on-table b3)

NEXT STATE:
(clear b2)
(holding b1)
(on b2 b3)
(on-table b3)
GOAL REACHED",1
"GOAL:
(arm-empty)
(clear b3)
(clear b4)
(on b2 b1)
(on b4 b2)
(on-table b1)
(on-table b3)

NEXT STATE:
(arm-empty)
(clear b3)
(clear b4)
(on b2 b1)
(on b4 b2)
(on-table b1)
(on-table b3)
GOAL REACHED",1
"GOAL:
(clear b4)
(clear b5)
(holding b6)
(on b2 b3)
(on b4 b1)
(on b5 b7)
(on b7 b2)
(on-table b1)
(on-table b3)

NEXT STATE:
(arm-empty)
(clear b5)
(on b1 b3)
(on b2 b1)
(on b4 b2)
(on b5 b4)
(on-table b3)
GOAL NOT REACHED",1
"GOAL:
(clear b3)
(holding b2)
(on b3 b4)
(on b4 b1)
(on-table b1)

NEXT STATE:
(clear b3)
(holding b2)
(on b3 b4)
(on b4 b1)
(on-table b1)
GOAL REACHED",1
"GOAL:
(clear b3)
(clear b4)
(clear b5)
(holding b7)
(on b1 b6)
(on b2 b1)
(on b5 b2)
(on-table b3)
(on-table b4)
(on-table b6)

NEXT STATE:
(clear b1)
(clear b4)
(holding b2)
(on b4 b3)
(on-table b1)
(on-table b3)
GOAL REACHED",0
"GOAL:
(clear b1)
(holding b2)
(on b1 b3)
(on-table b3)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b3)
(clear b5)
(clear b6)
(clear b7)
(on b1 b2)
(on b2 b4)
(on b6 b8)
(on-table b3)
(on-table b4)
(on-table b5)
(on-table b7)
(on-table b8)
GOAL NOT REACHED",1
"GOAL:
(clear b1)
(clear b3)
(holding b8)
(on b1 b4)
(on b2 b6)
(on b4 b2)
(on b5 b7)
(on b6 b5)
(on-table b3)
(on-table b7)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b2)
(clear b4)
(on b4 b3)
(on-table b1)
(on-table b2)
(on-table b3)
GOAL NOT REACHED",1
"GOAL:
(clear b1)
(clear b3)
(clear b7)
(holding b5)
(on b2 b6)
(on b3 b8)
(on b7 b2)
(on b8 b4)
(on-table b1)
(on-table b4)
(on-table b6)

NEXT STATE:
(clear b1)
(clear b3)
(clear b7)
(holding b5)
(on b2 b6)
(on b3 b8)
(on b7 b2)
(on b8 b4)
(on-table b1)
(on-table b4)
(on-table b6)
GOAL REACHED",1
"GOAL:
(clear b3)
(clear b7)
(clear b8)
(holding b6)
(on b2 b4)
(on b3 b2)
(on b4 b5)
(on b5 b1)
(on-table b1)
(on-table b7)
(on-table b8)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b2)
(clear b3)
(clear b5)
(on b3 b4)
(on-table b1)
(on-table b2)
(on-table b4)
(on-table b5)
GOAL NOT REACHED",1
"GOAL:
(clear b1)
(clear b4)
(holding b3)
(on b1 b5)
(on b4 b2)
(on-table b2)
(on-table b5)

NEXT STATE:
(clear b2)
(clear b3)
(clear b4)
(holding b1)
(on b3 b5)
(on-table b2)
(on-table b4)
(on-table b5)
GOAL REACHED",0
"GOAL:
(clear b7)
(clear b8)
(holding b1)
(on b2 b6)
(on b3 b5)
(on b5 b4)
(on b7 b2)
(on b8 b3)
(on-table b4)
(on-table b6)

NEXT STATE:
(clear b1)
(clear b3)
(holding b4)
(on b3 b2)
(on-table b1)
(on-table b2)
GOAL REACHED",0
"GOAL:
(clear b3)
(holding b6)
(on b1 b5)
(on b2 b1)
(on b3 b2)
(on b5 b4)
(on-table b4)

NEXT STATE:
(clear b3)
(clear b4)
(holding b5)
(on b1 b2)
(on b2 b7)
(on b3 b6)
(on b6 b1)
(on-table b4)
(on-table b7)
GOAL REACHED",0
"GOAL:
(clear b5)
(holding b2)
(on b3 b4)
(on b4 b1)
(on b5 b3)
(on-table b1)

NEXT STATE:
(clear b5)
(holding b2)
(on b3 b4)
(on b4 b1)
(on b5 b3)
(on-table b1)
GOAL REACHED",1
"GOAL:
(clear b2)
(clear b5)
(clear b6)
(holding b4)
(on b2 b1)
(on b6 b7)
(on b7 b3)
(on-table b1)
(on-table b3)
(on-table b5)

NEXT STATE:
(clear b2)
(clear b3)
(holding b1)
(on b2 b5)
(on b3 b4)
(on-table b4)
(on-table b5)
GOAL REACHED",0
"GOAL:
(clear b3)
(clear b4)
(clear b6)
(clear b7)
(holding b8)
(on b2 b1)
(on b3 b5)
(on b5 b2)
(on-table b1)
(on-table b4)
(on-table b6)
(on-table b7)

NEXT STATE:
(clear b3)
(clear b5)
(clear b6)
(clear b7)
(holding b4)
(on b3 b1)
(on b6 b2)
(on-table b1)
(on-table b2)
(on-table b5)
(on-table b7)
GOAL REACHED",0
"GOAL:
(arm-empty)
(clear b1)
(clear b7)
(clear b8)
(on b1 b2)
(on b4 b5)
(on b6 b4)
(on b7 b6)
(on b8 b3)
(on-table b2)
(on-table b3)
(on-table b5)

NEXT STATE:
(arm-empty)
(clear b3)
(clear b7)
(on b3 b4)
(on b4 b6)
(on b5 b1)
(on b6 b2)
(on b7 b5)
(on-table b1)
(on-table b2)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b1)
(clear b4)
(on b2 b3)
(on b3 b6)
(on b4 b2)
(on b5 b7)
(on b6 b5)
(on-table b1)
(on-table b7)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b4)
(on b2 b3)
(on b3 b6)
(on b4 b2)
(on b5 b7)
(on b6 b5)
(on-table b1)
(on-table b7)
GOAL NOT REACHED",0
"GOAL:
(clear b2)
(clear b3)
(holding b1)
(on-table b2)
(on-table b3)

NEXT STATE:
(clear b2)
(clear b3)
(holding b1)
(on-table b2)
(on-table b3)
GOAL REACHED",1
"GOAL:
(arm-empty)
(clear b1)
(clear b4)
(clear b5)
(clear b7)
(on b1 b6)
(on b3 b8)
(on b6 b3)
(on b7 b2)
(on-table b2)
(on-table b4)
(on-table b5)
(on-table b8)

NEXT STATE:
(clear b2)
(clear b4)
(holding b6)
(on b2 b3)
(on b3 b1)
(on b4 b5)
(on-table b1)
(on-table b5)
GOAL NOT REACHED",1
"GOAL:
(clear b5)
(clear b8)
(holding b3)
(on b1 b4)
(on b4 b2)
(on b5 b6)
(on b6 b1)
(on b8 b7)
(on-table b2)
(on-table b7)

NEXT STATE:
(clear b1)
(clear b7)
(holding b2)
(on b1 b3)
(on b5 b4)
(on b6 b5)
(on b7 b6)
(on-table b3)
(on-table b4)
GOAL REACHED",0
"GOAL:
(clear b1)
(clear b2)
(clear b3)
(clear b4)
(clear b8)
(holding b7)
(on b2 b5)
(on b4 b6)
(on-table b1)
(on-table b3)
(on-table b5)
(on-table b6)
(on-table b8)

NEXT STATE:
(clear b1)
(clear b2)
(clear b3)
(clear b4)
(clear b8)
(holding b7)
(on b2 b5)
(on b4 b6)
(on-table b1)
(on-table b3)
(on-table b5)
(on-table b6)
(on-table b8)
GOAL REACHED",1
"GOAL:
(arm-empty)
(clear b2)
(clear b7)
(clear b8)
(on b1 b6)
(on b2 b5)
(on b6 b4)
(on b7 b1)
(on b8 b3)
(on-table b3)
(on-table b4)
(on-table b5)

NEXT STATE:
(arm-empty)
(clear b2)
(clear b7)
(clear b8)
(on b1 b6)
(on b2 b5)
(on b6 b4)
(on b7 b1)
(on b8 b3)
(on-table b3)
(on-table b4)
(on-table b5)
GOAL REACHED",1
"GOAL:
(clear b4)
(holding b2)
(on b1 b7)
(on b3 b1)
(on b4 b3)
(on b6 b5)
(on b7 b6)
(on-table b5)

NEXT STATE:
(clear b2)
(clear b3)
(holding b1)
(on b2 b4)
(on-table b3)
(on-table b4)
GOAL NOT REACHED",1
"GOAL:
(clear b7)
(clear b8)
(holding b5)
(on b3 b4)
(on b4 b1)
(on b6 b2)
(on b7 b3)
(on b8 b6)
(on-table b1)
(on-table b2)

NEXT STATE:
(clear b1)
(clear b4)
(clear b6)
(holding b3)
(on b4 b5)
(on b5 b2)
(on-table b1)
(on-table b2)
(on-table b6)
GOAL NOT REACHED",1
"GOAL:
(clear b1)
(clear b3)
(clear b4)
(holding b7)
(on b3 b2)
(on b4 b6)
(on b6 b5)
(on-table b1)
(on-table b2)
(on-table b5)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b2)
(clear b3)
(clear b4)
(on b2 b5)
(on b4 b6)
(on-table b1)
(on-table b3)
(on-table b5)
(on-table b6)
GOAL NOT REACHED",1
"GOAL:
(clear b2)
(clear b4)
(clear b8)
(holding b1)
(on b2 b6)
(on b5 b7)
(on b7 b3)
(on b8 b5)
(on-table b3)
(on-table b4)
(on-table b6)

NEXT STATE:
(clear b2)
(clear b4)
(clear b8)
(holding b1)
(on b2 b6)
(on b5 b7)
(on b7 b3)
(on b8 b5)
(on-table b3)
(on-table b4)
(on-table b6)
GOAL NOT REACHED",0
"GOAL:
(arm-empty)
(clear b3)
(clear b5)
(clear b6)
(on b1 b2)
(on b3 b4)
(on b5 b1)
(on-table b2)
(on-table b4)
(on-table b6)

NEXT STATE:
(arm-empty)
(clear b3)
(clear b5)
(clear b6)
(on b1 b2)
(on b3 b4)
(on b5 b1)
(on-table b2)
(on-table b4)
(on-table b6)
GOAL REACHED",1
"GOAL:
(clear b2)
(clear b4)
(holding b1)
(on b2 b3)
(on-table b3)
(on-table b4)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b4)
(on b1 b3)
(on b4 b2)
(on-table b2)
(on-table b3)
GOAL NOT REACHED",1
"GOAL:
(clear b1)
(clear b3)
(holding b5)
(on b1 b2)
(on b2 b6)
(on b6 b4)
(on-table b3)
(on-table b4)

NEXT STATE:
(clear b1)
(clear b3)
(holding b5)
(on b1 b2)
(on b2 b6)
(on b6 b4)
(on-table b3)
(on-table b4)
GOAL NOT REACHED",0
"GOAL:
(clear b1)
(clear b3)
(clear b4)
(holding b5)
(on b1 b2)
(on b2 b7)
(on b3 b6)
(on-table b4)
(on-table b6)
(on-table b7)

NEXT STATE:
(clear b1)
(clear b3)
(clear b4)
(holding b5)
(on b1 b2)
(on b2 b7)
(on b3 b6)
(on-table b4)
(on-table b6)
(on-table b7)
GOAL NOT REACHED",0
"GOAL:
(arm-empty)
(clear b1)
(clear b2)
(clear b3)
(clear b7)
(on b3 b5)
(on b5 b8)
(on b6 b4)
(on b7 b6)
(on-table b1)
(on-table b2)
(on-table b4)
(on-table b8)

NEXT STATE:
(arm-empty)
(clear b1)
(clear b2)
(clear b3)
(clear b7)
(on b3 b5)
(on b5 b8)
(on b6 b4)
(on b7 b6)
(on-table b1)
(on-table b2)
(on-table b4)
(on-table b8)
GOAL NOT REACHED",0
"GOAL:
(clear b1)
(clear b4)
(holding b5)
(on b1 b2)
(on b2 b6)
(on b4 b3)
(on b6 b7)
(on-table b3)
(on-table b7)

NEXT STATE:
(clear b2)
(clear b6)
(holding b1)
(on b2 b4)
(on b5 b3)
(on b6 b5)
(on-table b3)
(on-table b4)
GOAL REACHED",0
"GOAL:
(clear b1)
(clear b7)
(holding b8)
(on b1 b4)
(on b2 b5)
(on b3 b6)
(on b6 b2)
(on b7 b3)
(on-table b4)
(on-table b5)

NEXT STATE:
(clear b1)
(clear b7)
(holding b8)
(on b1 b4)
(on b2 b5)
(on b3 b6)
(on b6 b2)
(on b7 b3)
(on-table b4)
(on-table b5)
GOAL REACHED",1
"GOAL:
(clear b2)
(clear b3)
(holding b1)
(on-table b2)
(on-table b3)

NEXT STATE:
(clear b2)
(clear b3)
(holding b1)
(on-table b2)
(on-table b3)
GOAL REACHED",1
"GOAL:
(clear b3)
(clear b7)
(holding b1)
(on b2 b6)
(on b3 b2)
(on b4 b5)
(on b7 b4)
(on-table b5)
(on-table b6)

NEXT STATE:
(arm-empty)
(clear b2)
(clear b5)
(clear b7)
(on b3 b6)
(on b4 b1)
(on b5 b4)
(on b7 b3)
(on-table b1)
(on-table b2)
(on-table b6)
GOAL NOT REACHED",1
"GOAL:
(arm-empty)
(clear b3)
(clear b6)
(clear b8)
(on b2 b1)
(on b4 b7)
(on b6 b2)
(on b7 b5)
(on b8 b4)
(on-table b1)
(on-table b3)
(on-table b5)

NEXT STATE:
(arm-empty)
(clear b3)
(clear b4)
(clear b5)
(on b2 b1)
(on b4 b2)
(on-table b1)
(on-table b3)
(on-table b5)
GOAL REACHED",0
"GOAL:
(clear b1)
(clear b3)
(holding b4)
(on b1 b5)
(on b3 b2)
(on-table b2)
(on-table b5)

NEXT STATE:
(clear b2)
(clear b5)
(clear b8)
(holding b7)
(on b2 b3)
(on b3 b1)
(on b4 b6)
(on b5 b4)
(on-table b1)
(on-table b6)
(on-table b8)
GOAL REACHED",0
